Provinsi,hp_seluler_2024,rls_2024,ipm_2024,pdrb_kapita_2024,tpt_2024,klaster,nama_klaster,indeks_kerentanan,peringkat,kategori,lisa_q,lisa_p,lisa,lat,lon,gwr_rls_2024,gwr_ipm_2024,gwr_pdrb_log,gwr_tpt_2024
Sulawesi Utara,71.3,9.68,74.85,62800.0,5.85,2,Berkembang Menengah,0.33986526155212304,30,Rendah,High-Low,0.422,Tidak signifikan,1.2244132352521628,124.50238892333815,-0.1023725217178042,12.224336768925257,0.7941223343443611,0.13299471161274445
Sulawesi Tengah,66.9,8.92,71.2,105200.0,2.87,2,Berkembang Menengah,0.3405678623372529,28,Sedang,High-High,0.206,Tidak signifikan,-1.0108167231932297,121.16208472292435,-0.9990695017918709,11.04718830106452,1.025713608635824,-0.12408329336513745
Sulawesi Selatan,69.8,8.75,73.9,70800.0,4.22,2,Berkembang Menengah,0.34965086119264666,27,Sedang,High-High,0.269,Tidak signifikan,-3.6909964718191817,120.16021020360017,-1.5817174942549586,10.3901945123794,1.2852846359219912,-0.11317798625807365
Sulawesi Tenggara,67.5,9.15,72.85,60400.0,3.09,2,Berkembang Menengah,0.35702639991384044,23,Sedang,High-Low,0.387,Tidak signifikan,-4.105233663947603,122.04032245465926,-0.5596856743026075,11.48028686826026,0.733420359624773,-0.0189588094830688
Gorontalo,65.8,8.1,70.45,41200.0,3.06,2,Berkembang Menengah,0.43622615683521776,12,Tinggi,High-High,0.291,Tidak signifikan,0.6954255749161165,122.3600005761068,-0.521509422837942,11.682020063340797,0.8586528300086693,-0.0639766273232273
Sulawesi Barat,60.1,8.05,67.85,38900.0,3.02,3,Tertinggal Sedang,0.4893523424861514,7,Sangat Tinggi,Low-High,0.153,Tidak signifikan,-2.455081037850468,119.35032735145678,-1.6368530269479487,10.104596116245837,1.3994099187773903,0.0014147517304895771
Maluku,62.3,10.2,71.1,29100.0,6.15,2,Berkembang Menengah,0.45590917100883294,10,Sangat Tinggi,Low-Low,0.056,Tidak signifikan,-4.579223801677028,129.64641325727436,0.29413341978549745,12.342923115231908,0.8167106579820472,0.47836354497013334
Maluku Utara,64.1,9.22,70.9,118500.0,4.1,2,Berkembang Menengah,0.35510430539326215,24,Sedang,Low-Low,0.337,Tidak signifikan,0.28577773166921405,127.57449129536951,0.14735861460537603,12.430259802708138,0.8390630539023486,0.3663461261107921
Papua Barat,58.9,7.8,66.8,92100.0,5.38,3,Tertinggal Sedang,0.48065142315677806,8,Sangat Tinggi,Low-Low,0.001,Low-Low,-2.654879243867774,133.64201713138388,0.36034947974151743,12.452166822306637,0.9365030439136773,0.6090251735246044
Papua Barat Daya,57.4,7.65,66.2,78400.0,5.1,3,Tertinggal Sedang,0.5036080707923081,6,Sangat Tinggi,Low-Low,0.001,Low-Low,-1.130442827598623,132.0111232070003,0.3085251097290085,12.479147211873485,0.9233111931725058,0.5624527332611531
Papua,48.5,7.2,62.8,68900.0,4.8,3,Tertinggal Sedang,0.5890945119737068,4,Sangat Tinggi,Low-Low,0.001,Low-Low,-2.632830659807181,138.5690845118903,0.4201528984555969,12.476000553271227,1.0109039723585864,0.711503414547642
Papua Tengah,32.1,5.2,58.1,142500.0,2.1,1,Tertinggal Ekstrem,0.6701252534291475,2,Sangat Tinggi,Low-Low,0.001,Low-Low,-3.91028923211584,136.61599231066532,0.416678887279172,12.440108877486786,0.972464112301475,0.6745128448525919
Papua Pegunungan,15.76,4.21,53.42,18105.0,1.32,1,Tertinggal Ekstrem,0.9355695674561051,1,Sangat Tinggi,Low-Low,0.001,Low-Low,-4.230111017830655,139.45146428941632,0.44760071473972474,12.444305237030505,1.0073820481069165,0.7222433725924748
Papua Selatan,45.8,6.9,62.1,49200.0,2.85,3,Tertinggal Sedang,0.6136122645981483,3,Sangat Tinggi,Low-Low,0.001,Low-Low,-6.6793820326887525,139.55578349272616,0.47597266504635627,12.395363198458432,0.9867541068781944,0.7191542409246989
